,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
358,Danielskuil,-28.1887,23.5395,59.59,30,0,5.75,ZA,1620848356
359,Fort Smith,35.3859,-94.3986,63.36,55,90,7.0,US,1620848302
360,Mogadishu,2.0371,45.3438,80.74,80,100,20.2,SO,1620848356
361,Terney,45.0503,136.6092,43.21,98,98,6.04,RU,1620848357
362,Saint-Louis,16.3333,-15.0,101.77,21,17,2.82,SN,1620848357
363,Mabaruma,8.2,-59.7833,83.05,66,92,7.36,GY,1620848357
364,Ayan,56.45,138.1667,33.57,82,13,7.83,RU,1620848358
365,Basco,20.4487,121.9702,82.22,86,1,20.02,PH,1620848358
366,Linxia Chengguanzhen,35.6003,103.2064,57.56,52,4,3.78,CN,1620848358
367,Anykščiai,55.5256,25.1026,52.11,74,1,7.27,LT,1620848359
368,Tulum,20.2167,-87.4667,91.33,57,32,8.43,MX,1620848359
369,Katangli,51.7102,143.2326,35.44,80,68,3.42,RU,1620848359
370,Ulefoss,59.2838,9.2646,48.94,90,100,3.71,NO,1620848360
371,Lavrentiya,65.5833,-171.0,32.76,97,100,2.13,RU,1620848360
372,Hofn,64.2539,-15.2082,37.38,60,20,11.5,IS,1620848360
373,Tanabe,33.7333,135.3667,65.01,82,98,15.08,JP,1620848361
374,Saint-François,46.4154,3.9054,52.05,76,0,3.44,FR,1620848361
375,Shakiso,5.75,38.9167,60.08,98,100,1.99,ET,1620848362
376,Contamana,-7.3333,-75.0167,79.56,90,93,1.81,PE,1620848362
377,Graaff-Reinet,-32.2522,24.5308,48.2,38,24,1.59,ZA,1620848362
378,Dodge City,37.7528,-100.0171,48.29,54,90,8.05,US,1620848315
379,Ouallam,14.3188,2.0866,99.55,11,47,4.38,NE,1620848363
380,Mildura,-34.2,142.15,42.15,87,78,0.0,AU,1620848363
381,Sinnamary,5.3833,-52.95,80.47,79,79,10.56,GF,1620848363
382,Ambulu,-8.345,113.6058,73.74,87,94,4.38,ID,1620848364
383,Svetlaya,46.5389,138.3297,42.08,97,99,10.09,RU,1620848364
384,Glasgow,55.8652,-4.2576,52.38,92,26,0.54,GB,1620848364
385,Manggar,-2.8833,108.2667,81.55,84,100,9.31,ID,1620848365
386,Mount Gambier,-37.8333,140.7667,47.37,93,100,12.66,AU,1620848365
387,Soto la Marina,23.7667,-98.2167,75.09,85,100,11.56,MX,1620848365
388,Jaswantnagar,26.8786,78.9028,84.61,39,100,6.53,IN,1620848366
389,Cordele,31.9635,-83.7824,69.4,83,90,0.0,US,1620848270
390,Puerto Nariño,-3.7703,-70.3831,84.96,87,36,2.13,CO,1620848366
391,Petatlán,17.5167,-101.2667,91.11,45,97,7.7,MX,1620848367
392,Poli,-3.3333,36.8,59.25,90,85,4.97,TZ,1620848367
393,Gonbad-e Kāvūs,37.25,55.1672,67.12,69,100,6.93,IR,1620848367
394,Sakakah,29.9697,40.2064,81.34,14,0,5.46,SA,1620848368
395,Lamu,-2.2717,40.902,79.66,77,100,17.11,KE,1620848368
396,Brunsbüttel,53.9,9.15,51.1,89,100,6.82,DE,1620848368
397,Mayo,38.8876,-76.5119,64.31,47,9,4.0,US,1620848345
398,Nome,64.5011,-165.4064,42.76,70,40,3.44,US,1620848303
399,Neftçala,39.3742,49.2472,60.94,81,8,4.0,AZ,1620848369
400,Westerland,54.9079,8.3033,48.96,93,90,9.22,DE,1620848369
401,Port-Gentil,-0.7193,8.7815,84.11,79,75,8.05,GA,1620848370
402,Fuerte Olimpo,-21.0415,-57.8738,62.29,81,100,5.12,PY,1620848370
403,Bayir,37.2687,28.2167,59.49,49,100,3.49,TR,1620848370
404,Yaan,7.3833,8.5667,81.64,74,57,7.61,NG,1620848371
405,Puksoozero,62.5903,40.6066,59.43,65,0,4.03,RU,1620848371
406,Imbituba,-28.24,-48.6703,64.2,68,95,10.22,BR,1620848288
407,Khasan,42.4308,130.6434,46.71,95,87,3.71,RU,1620848372
408,Henties Bay,-22.116,14.2845,67.69,46,0,7.02,NA,1620848372
409,Cairns,-16.9167,145.7667,67.91,96,0,1.14,AU,1620848372
410,Guantánamo,20.1444,-75.2092,88.66,54,14,10.74,CU,1620848373
411,Arman',59.7,150.1667,34.65,75,70,4.88,RU,1620848373
412,Caravelas,-17.7125,-39.2481,74.82,69,9,7.61,BR,1620848374
413,Richards Bay,-28.783,32.0377,71.62,80,65,8.03,ZA,1620848179
414,Roald,62.5833,6.1333,46.15,81,75,18.41,NO,1620848374
415,Khovd,48.0056,91.6419,44.26,41,17,5.12,MN,1620848374
416,Antalaha,-14.9003,50.2788,72.73,84,58,7.38,MG,1620848375
417,Sabang,5.8933,95.3214,83.41,72,61,1.83,ID,1620848375
418,Oussouye,12.485,-16.5469,80.49,71,15,9.95,SN,1620848375
419,Geraldton,-28.7667,114.6,66.2,64,99,16.13,AU,1620848376
420,Jutaí,-5.1833,-68.9,83.84,72,75,2.3,BR,1620848376
421,Kalundborg,55.6795,11.0886,53.22,93,100,11.77,DK,1620848377
422,Shepsi,44.0361,39.1489,57.79,66,0,5.41,RU,1620848377
423,Riyadh,24.6877,46.7219,93.27,9,40,5.75,SA,1620848227
424,Iracoubo,5.4802,-53.2011,80.65,78,59,10.31,GF,1620848378
425,Christchurch,-43.5333,172.6333,31.82,93,23,0.0,NZ,1620848144
426,Sangar,63.9242,127.4739,31.24,85,6,3.94,RU,1620848378
427,Upernavik,72.7868,-56.1549,31.3,91,100,9.1,GL,1620848379
428,Maués,-3.3836,-57.7186,80.58,92,98,0.94,BR,1620848163
429,Baharly,38.4362,57.4316,78.13,25,3,4.54,TM,1620848379
430,Poum,-20.2333,164.0167,77.99,81,100,22.59,NC,1620848379
431,Ruwi,23.5996,58.5507,87.31,40,57,2.68,OM,1620848380
432,Am Timan,11.0297,20.2827,91.09,35,48,7.43,TD,1620848380
433,Puerto Madryn,-42.7692,-65.0385,67.75,26,54,10.89,AR,1620848380
434,Onega,63.9061,38.1404,57.56,63,0,5.01,RU,1620848381
435,Uyar,55.81,94.3153,38.35,60,0,3.6,RU,1620848381
436,Daşoguz,41.8363,59.9666,70.59,22,0,13.69,TM,1620848381
437,Sfântu Gheorghe,45.8667,25.7833,32.59,87,60,6.73,RO,1620848382
438,Harindānga,22.0383,88.3214,76.93,71,53,3.33,IN,1620848382
439,Termoli,41.9888,14.9895,60.57,65,6,14.65,IT,1620848382
440,Kota Tinggi,1.7381,103.8999,77.16,95,82,1.97,MY,1620848171
441,Pochutla,15.7432,-96.4661,94.23,45,37,9.91,MX,1620848383
442,Inta,66.0317,60.1659,45.52,76,100,14.92,RU,1620848383
443,Alakurtti,66.9672,30.3491,43.25,94,96,3.27,RU,1620848384
444,Beringovskiy,63.05,179.3167,32.38,99,100,7.05,RU,1620848384
445,Kodinsk,58.6881,99.1844,32.83,66,6,3.02,RU,1620848120
446,Lakewood,39.7047,-105.0814,38.71,36,66,3.0,US,1620848384
447,Norman Wells,65.282,-126.8329,45.68,61,75,19.57,CA,1620848385
448,Kieta,-6.2167,155.6333,77.9,83,7,2.17,PG,1620848385
449,Gawler,-34.6,138.7333,49.98,66,99,4.43,AU,1620848385
450,Arona,28.0996,-16.681,60.19,70,20,5.99,ES,1620848386
451,La Asuncion,11.0333,-63.8628,87.35,71,100,17.36,VE,1620848386
452,Morro Bay,35.3658,-120.8499,71.83,81,29,5.01,US,1620848387
453,Mossamedes,-15.1961,12.1522,75.79,62,1,5.03,AO,1620848387
454,Qasigiannguit,68.8193,-51.1922,35.44,86,68,4.29,GL,1620848387
455,Tura,25.5198,90.2201,67.37,96,100,1.66,IN,1620848388
456,Crestview,30.7621,-86.5705,80.11,62,20,3.0,US,1620848388
457,Nouakchott,18.0858,-15.9785,80.51,50,70,7.31,MR,1620848388
458,Atar,20.5169,-13.0499,94.51,10,3,10.67,MR,1620848389
459,Flin Flon,54.7682,-101.865,60.75,31,40,4.74,CA,1620848389
460,Shyryayeve,47.3805,30.1964,48.42,75,71,2.68,UA,1620848389
461,Del Rio,29.3627,-100.8968,64.81,60,90,6.91,US,1620848110
462,Lüderitz,-26.6481,15.1594,69.96,44,0,7.94,NA,1620848390
463,Pinar del Río,22.4175,-83.6981,92.86,43,79,5.77,CU,1620848390
464,Sungai Raya,0.7,108.9,78.53,89,100,1.72,ID,1620848391
465,Mastic Beach,40.7668,-72.8521,64.99,37,1,7.0,US,1620848391
466,Lingao,19.9103,109.6859,80.01,76,4,9.66,CN,1620848391
467,Aquitania,5.5197,-72.8875,52.92,87,90,4.68,CO,1620848392
468,Praia da Vitória,38.7333,-27.0667,67.64,77,40,5.41,PT,1620848392
469,Kaya,13.0917,-1.0844,99.36,18,53,4.61,BF,1620848392
470,Fairlie,55.756,-4.8556,54.91,85,5,1.12,GB,1620848393
471,Bilibino,68.0546,166.4372,25.52,86,99,1.99,RU,1620848393
472,Synya,65.3718,58.0387,45.34,84,97,7.27,RU,1620848393
473,Malumfashi,11.7853,7.6218,87.62,27,62,9.62,NG,1620848394
474,Mugango,-1.6833,33.7,64.63,91,100,2.08,TZ,1620848394
475,Tymovskoye,50.8456,142.655,36.16,82,100,5.35,RU,1620848394
476,Bandar-e Lengeh,26.5579,54.8807,87.91,46,0,8.08,IR,1620848395
477,Rundu,-17.9333,19.7667,59.23,35,0,4.65,NA,1620848395
478,Yidu,24.1614,115.1328,75.13,85,69,3.15,CN,1620848396
479,Bakaly,55.1789,53.8028,60.89,58,2,3.71,RU,1620848396
480,Arrondissement de Lons-le-Saunier,46.75,5.75,40.28,87,100,2.13,FR,1620848396
481,Jaisalmer,26.9147,70.9181,87.08,48,0,22.03,IN,1620848397
482,Olinda,-8.0089,-34.8553,78.4,85,40,10.67,BR,1620848397
483,Samarai,-10.6167,150.6667,81.37,79,42,9.4,PG,1620848397
484,Suez,29.9737,32.5263,69.55,69,0,13.27,EG,1620848398
485,Acaraú,-2.8856,-40.12,80.91,79,27,9.93,BR,1620848398
486,Lashio,22.9333,97.75,64.63,96,78,1.1,MM,1620848399
487,Katobu,-4.9408,122.5276,75.4,94,100,4.68,ID,1620848399
488,Lewistown,40.5992,-77.5714,61.48,1,20,11.5,US,1620848309
489,Cuiluan,47.72,128.648,47.52,77,93,10.92,CN,1620848399
490,Villefranche-sur-Saône,45.9833,4.7167,56.71,87,38,1.79,FR,1620848400
491,Severo-Yeniseyskiy,60.3725,93.0408,34.18,82,23,4.56,RU,1620848400
492,Miles City,46.4083,-105.8406,48.78,62,20,5.75,US,1620848401
493,San Jose,37.3394,-121.895,72.14,53,1,6.91,US,1620848401
494,Griffith,41.5284,-87.4237,55.58,34,1,1.99,US,1620848401
495,Kuandian,40.7286,124.7847,48.83,95,75,2.91,CN,1620848402
496,Ca Mau,9.1769,105.15,80.31,77,60,2.91,VN,1620848404
497,San Fernando del Valle de Catamarca,-28.4696,-65.7852,65.86,57,3,4.0,AR,1620848350
498,Traralgon,-38.1833,146.5333,42.57,97,91,1.81,AU,1620848405
499,Oga,46.4631,10.347,30.88,97,100,5.35,IT,1620848405
500,Kununurra,-15.7667,128.7333,63.9,68,0,1.14,AU,1620848405
501,Provideniya,64.3833,-173.3,37.35,81,90,6.71,RU,1620848406
502,Ōmachi,36.5,137.8667,45.61,89,100,2.17,JP,1620848406
503,Chardara,41.2547,67.9692,66.69,36,0,17.96,KZ,1620848407
504,Kysyl-Syr,63.8986,122.7617,30.6,81,5,4.25,RU,1620848407
505,Tres Arroyos,-38.3739,-60.2798,62.96,48,57,15.12,AR,1620848407
506,Opopeo,19.4,-101.6,43.14,50,99,4.25,MX,1620848408
507,Wanning,18.8003,110.3967,80.29,89,12,10.07,CN,1620848408
508,Jaffna,9.6685,80.0074,84.97,77,100,19.44,LK,1620848160
509,Dunda,-8.1167,34.25,60.62,78,12,3.2,TZ,1620848409
510,Newport,51.5877,-2.9984,47.77,91,100,3.44,GB,1620848409
511,Viedma,-40.8135,-62.9967,68.79,22,26,8.3,AR,1620848409
512,Ayr,55.4627,-4.6339,55.26,62,20,5.75,GB,1620848410
513,Sorong,-0.8833,131.25,80.1,84,51,4.29,ID,1620848410
514,Kailua,21.4022,-157.7394,75.38,69,75,6.91,US,1620848267
515,Slatina,44.4333,24.3667,58.03,70,100,4.83,RO,1620848411
516,Saint-Pierre,-21.3393,55.4781,72.84,83,0,6.91,RE,1620848411
517,Husavik,66.0449,-17.3389,44.51,65,24,4.32,IS,1620848411
518,Bandarbeyla,9.4942,50.8122,85.82,59,100,18.61,SO,1620848412
519,Corinth,37.9407,22.9573,68.02,62,0,7.58,GR,1620848412
520,Nipāni,16.4,74.3833,76.3,82,96,8.03,IN,1620848412
521,Meadow Lake,34.8014,-106.5436,48.24,32,0,7.81,US,1620848413
522,Longyearbyen,78.2186,15.6401,22.51,63,20,3.44,SJ,1620848380
523,Georgiyevka,43.0369,74.7114,44.51,66,20,6.08,KZ,1620848413
524,Haifa,32.8156,34.9892,65.08,78,0,6.06,IL,1620848413
525,Goderich,43.7501,-81.7165,44.19,76,38,11.5,CA,1620848329
526,Novobirilyussy,56.9514,90.6661,42.28,62,0,4.85,RU,1620848414
527,Pimentel,-6.8367,-79.9342,69.96,79,0,4.0,PE,1620848414
528,Mirny,62.5353,113.9611,31.41,70,0,3.91,RU,1620848415
529,Chudniv,50.052,28.1175,44.24,85,100,5.99,UA,1620848415
530,Santiago del Estero,-27.7951,-64.2615,68.68,47,0,9.62,AR,1620848134
531,Teknāf,20.8624,92.3058,78.08,86,9,2.68,BD,1620848415
532,Celestún,20.8667,-90.4,89.78,58,83,12.53,MX,1620848416
533,Nigel,-26.4314,28.4771,37.78,32,0,4.85,ZA,1620848416
534,Bāfq,31.6128,55.4107,78.06,33,99,3.89,IR,1620848416
535,Qaqortoq,60.7167,-46.0333,51.8,47,15,7.83,GL,1620848417
536,Quryq,43.2,51.65,63.81,54,3,4.85,KZ,1620848417
537,Trujillo,-8.116,-79.03,67.62,83,40,5.75,PE,1620848351
538,Trairi,-3.2778,-39.2689,80.6,82,11,6.71,BR,1620848374
539,Salme,28.0369,85.0942,40.08,82,100,3.31,NP,1620848418
540,Wellington,-41.2866,174.7756,44.94,77,75,5.75,NZ,1620848383
541,Tolaga Bay,-38.3667,178.3,51.64,82,100,14.7,NZ,1620848418
542,Okhotsk,59.3833,143.3,33.15,66,100,2.21,RU,1620848419
543,Marsh Harbour,26.5412,-77.0636,80.67,73,44,6.24,BS,1620848128
544,Jumla,29.2747,82.1838,50.72,90,100,0.89,NP,1620848419
